tab	er_samples
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	sample_azimuth
This study	JP6-1	JP6	Botswana	intrusive	Dolerite	sill	-24.7	25.6	0	0.0	0.0	SO-NO	0
This study	JP6-2	JP6	Botswana	intrusive	Dolerite	sill	-24.7	25.6	0	0.0	0.0	SO-NO	0
This study	JP6-3	JP6	Botswana	intrusive	Dolerite	sill	-24.7	25.6	0	0.0	0.0	SO-NO	0
This study	JP6-4	JP6	Botswana	intrusive	Dolerite	sill	-24.7	25.6	0	0.0	0.0	SO-NO	0
This study	JP6-5	JP6	Botswana	intrusive	Dolerite	sill	-24.7	25.6	0	0.0	0.0	SO-NO	0
This study	JP6-6	JP6	Botswana	intrusive	Dolerite	sill	-24.7	25.6	0	0.0	0.0	SO-NO	0
This study	JP8-1	JP8	Botswana	intrusive	Dolerite	sill	-25	25.3	0	258.0	8.0	SO-NO	0
This study	JP8-2	JP8	Botswana	intrusive	Dolerite	sill	-25	25.3	0	258.0	8.0	SO-NO	0
This study	JP8-3	JP8	Botswana	intrusive	Dolerite	sill	-25	25.3	0	258.0	8.0	SO-NO	0
This study	JP8-4	JP8	Botswana	intrusive	Dolerite	sill	-25	25.3	0	258.0	8.0	SO-NO	0
This study	JP8-5	JP8	Botswana	intrusive	Dolerite	sill	-25	25.3	0	257.9	8.0	SO-NO	0
This study	JP8-6	JP8	Botswana	intrusive	Dolerite	sill	-25	25.3	0	258.0	8.0	SO-NO	0
This study	JP8-7	JP8	Botswana	intrusive	Dolerite	sill	-25	25.3	0	258.0	8.0	SO-NO	0
This study	JP9-1	JP9	Botswana	intrusive	Dolerite	sill	-24.9	25.2	0	138.2	14.0	SO-NO	0
This study	JP9-2	JP9	Botswana	intrusive	Dolerite	sill	-24.9	25.2	0	138.0	14.0	SO-NO	0
This study	JP9-3	JP9	Botswana	intrusive	Dolerite	sill	-24.9	25.2	0	138.1	14.0	SO-NO	0
This study	JP9-4	JP9	Botswana	intrusive	Dolerite	sill	-24.9	25.2	0	138.1	14.0	SO-NO	0
This study	JP9-5	JP9	Botswana	intrusive	Dolerite	sill	-24.9	25.2	0	138.0	14.0	SO-NO	0
This study	JP9-6	JP9	Botswana	intrusive	Dolerite	sill	-24.9	25.2	0	138.0	14.0	SO-NO	0
