tab 	er_expeditions
expedition_description	expedition_start_lon	er_expedition_name	expedition_start_loc	expedition_start_lat	er_citation_names
sampling Umkondo sills in southern Botswana to complement the existing number of cooling units	25.86	Botswana 2012	"-24.6878,25.8622"	-24.6878	This study
>>>>>>>>>>
tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	This study:10.1029/2005JB003897	-25	25.00	Botswana	Region of Umkondo sills in southern Botswana	-22	27.50
>>>>>>>>>>
tab 	er_samples
sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_type	sample_azimuth	er_location_name	er_expedition_name	sample_lat	sample_dip	sample_bed_dip	sample_lon	sample_class
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-14	pmag core	Sill	47.60	Botswana	Botswana 2012	-24.3762	-9	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-15	pmag core	Sill	115.30	Botswana	Botswana 2012	-24.3762	-9	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-16	pmag core	Sill	116.90	Botswana	Botswana 2012	-24.3762	-25	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-17	pmag core	Sill	170.20	Botswana	Botswana 2012	-24.3762	-72	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-18	pmag core	Sill	341.70	Botswana	Botswana 2012	-24.3762	-31	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-2	pmag core	Sill	26.90	Botswana	Botswana 2012	-24.3762	-22	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-3	pmag core	Sill	305.30	Botswana	Botswana 2012	-24.3762	-25	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-4	pmag core	Sill	184.00	Botswana	Botswana 2012	-24.3762	-18	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-5	pmag core	Sill	187.60	Botswana	Botswana 2012	-24.3762	-11	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-6	pmag core	Sill	82.90	Botswana	Botswana 2012	-24.3762	-45	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-7	pmag core	Sill	67.60	Botswana	Botswana 2012	-24.3762	-36	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-8	pmag core	Sill	110.20	Botswana	Botswana 2012	-24.3762	-48	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW18-9	pmag core	Sill	107.80	Botswana	Botswana 2012	-24.3762	-17	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-1	pmag core	Sill	221.40	Botswana	Botswana 2012	-24.3761	-82	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-10	pmag core	Sill	162.20	Botswana	Botswana 2012	-24.3761	-24	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-11	pmag core	Sill	135.60	Botswana	Botswana 2012	-24.3761	-13	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-12	pmag core	Sill	213.40	Botswana	Botswana 2012	-24.3761	-15	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-13	pmag core	Sill	203.00	Botswana	Botswana 2012	-24.3761	-18	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-2	pmag core	Sill	296.50	Botswana	Botswana 2012	-24.3761	-30	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-3	pmag core	Sill	285.60	Botswana	Botswana 2012	-24.3761	-32	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-4	pmag core	Sill	226.40	Botswana	Botswana 2012	-24.3761	-19	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-5	pmag core	Sill	261.10	Botswana	Botswana 2012	-24.3761	-51	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-6	pmag core	Sill	156.70	Botswana	Botswana 2012	-24.3761	-26	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-8	pmag core	Sill	327.90	Botswana	Botswana 2012	-24.3761	-10	4	25.47	Intrusive
290.10	This study	Dolerite	Molepolole Prison Quarry Sill	PW19-9	pmag core	Sill	184.60	Botswana	Botswana 2012	-24.3761	-22	4	25.47	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-1	pmag core	Sill	237.10	Botswana	Botswana 2012	-24.6882	-72	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-2	pmag core	Sill	224.50	Botswana	Botswana 2012	-24.6882	-73	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-3	pmag core	Sill	220.80	Botswana	Botswana 2012	-24.6882	-86	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-4	pmag core	Sill	263.90	Botswana	Botswana 2012	-24.6882	-97	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-5	pmag core	Sill	263.90	Botswana	Botswana 2012	-24.6882	-92	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-6	pmag core	Sill	204.60	Botswana	Botswana 2012	-24.6882	-87	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-7	pmag core	Sill	181.30	Botswana	Botswana 2012	-24.6882	-85	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-8	pmag core	Sill	195.10	Botswana	Botswana 2012	-24.6882	-66	6	25.86	Intrusive
224.60	This study	Dolerite	Kgale Peak Sill	PW2-9	pmag core	Sill	196.80	Botswana	Botswana 2012	-24.6882	-74	6	25.86	Intrusive
12.79	This study	Dolerite	Lentsweletau Sill	PW20-1	pmag core	Sill	277.40	Botswana	Botswana 2012	-24.2405	-29	3	25.85	Intrusive
12.79	This study	Dolerite	Lentsweletau Sill	PW20-2	pmag core	Sill	205.50	Botswana	Botswana 2012	-24.2405	-27	3	25.85	Intrusive
12.79	This study	Dolerite	Lentsweletau Sill	PW20-3	pmag core	Sill	107.30	Botswana	Botswana 2012	-24.2405	-12	3	25.85	Intrusive
12.79	This study	Dolerite	Lentsweletau Sill	PW20-4	pmag core	Sill	217.60	Botswana	Botswana 2012	-24.2405	-47	3	25.85	Intrusive
